MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,OPEN_DATE
VNVC,VNVC THANH TRÌ,"Ô ĐẤT SỐ 5 BT4 ĐTM PHÁP VÂN- TỨ HIỆP, 6A PHỐ TRẦN THỦ ĐỘ, P.YÊN SỞ, HÀ NỘI (NẰM TRÊN ĐƯỜNG TRẦN THỦ ĐỘ, CÁCH CẦU TỨ HIỆP VỀ PHÍA BẮC 300M, CÁCH MITSUBISHI MOTORS VIỆT HỒNG 300M)",20.9542168,105.8469934,2023-10-13
VNVC,VNVC QUẬN 5,"TẦNG 6, TÒA NHÀ HÙNG VƯƠNG PLAZA, 126 HỒNG BÀNG, P.CHỢ LỚN, TP.HCM",10.7558816,106.662859,2023-09-29
VNVC,VNVC BẾN CÁT,"SỐ 580 QL.13, KHU PHỐ 4, P.BẾN CÁT, TP.HCM",11.1346259,106.6041936,2023-09-24
VNVC,VNVC QUẬN 6,"TẦNG 2, TÒA NHÀ NHẬT ĐỈNH TOWER, 245 NGUYỄN VĂN LUÔNG, P.BÌNH PHÚ, TP.HCM",10.7457034,106.6347421,2023-09-20
VNVC,VNVC HÀ NAM,"TDP MỄ NỘI, ĐƯỜNG LÊ DUẨN, P.PHỦ LÝ, NINH BÌNH (NGÃ TƯ VÀO TRƯỜNG CHUYÊN BIÊN HÒA, CẠNH HYUNDAI HÀ NAM, ĐỐI DIỆN NHÀ HÀNG NGỌC SƠN)",20.5357106,105.9310298,2023-09-18
VNVC,VNVC CỔ NHUẾ,"LÔ SỐ 33, KHU NHÀ Ở THẤP TẦNG TT3, KHU ĐÔ THỊ TP.GIAO LƯU, 232-234 PHẠM VĂN ĐỒNG, P.PHÚ DIỄN, HÀ NỘI (CẠNH NGÃ TƯ VÒNG TRÒN GIAO ĐƯỜNG 23 VÀ ĐƯỜNG SỐ 1, KHU ĐÔ THỊ THÀNH PHỐ GIAO LƯU: CÁCH 50M)",21.0546968,105.7765465,2023-09-14
VNVC,VNVC CẦN GIUỘC,"SỐ 37 NGUYỄN THÁI BÌNH, ẤP TRỊ YÊN, X.CẦN GIUỘC, TÂY NINH",10.6150608,106.665838,2023-09-11
VNVC,VNVC TRẢNG BOM,"Ô 54 - Ô 55- Ô 56, LÔ B KHU DÂN CƯ VÀ SIÊU THỊ, X.TRẢNG BOM, ĐỒNG NAI",10.9564027,107.0038569,2023-08-31
VNVC,VNVC HIỆP BÌNH PHƯỚC,"SỐ 566 QUỐC LỘ 13, KHU PHỐ 6, P.HIỆP BÌNH, TP.HCM. (GẦN CÔNG TY GIÀY GIA ĐỊNH)",10.8474611,106.7183614,2023-08-30
VNVC,VNVC PHẠM HÙNG,"GIAN SỐ L2-04 (TẦNG 2-TTTM SATRA ĐƯỜNG PHẠM HÙNG), C6/27 PHẠM HÙNG, X.BÌNH HƯNG, TP.HCM",10.7336321,106.674541,2023-08-24
VNVC,VNVC PHỐ NỐI,"239-243 NGUYỄN VĂN LINH, P.MỸ HÀO, HƯNG YÊN (MẶT ĐƯỜNG QL5 CŨ, CÁCH NGÃ 4 CHỢ BẦN KHOẢNG 200M)",20.938371,106.043949,2023-08-24
VNVC,VNVC THỚI AN,"109 LÊ THỊ RIÊNG, P.THỚI AN, TP.HCM",10.8707233,106.6542761,2023-08-09
VNVC,VNVC TÂY MỖ,"SỐ NHÀ JA11-02, KHU ĐÔ THỊ THIÊN ĐƯỜNG BẢO SƠN, X.AN KHÁNH, HÀ NỘI (NẰM TRÊN TRỤC ĐƯỜNG LÊ TRỌNG TẤN, CÁCH CỔNG CÔNG VIÊN THIÊN ĐƯỜNG BẢO SƠN 200M TRÊN CÙNG BÊN ĐƯỜNG)",21.0012572,105.732863,2023-08-09
VNVC,VNVC VĂN PHÚ,"TẦNG 1, CHUNG CƯ LA CASTA TOWER, KHU ĐÔ THỊ MỚI VĂN PHÚ, P.KIẾN HƯNG, HÀ NỘI (NẰM TRÊN ĐƯỜNG ĐI VÀO KHU ĐÔ THỊ VĂN PHÚ, NGÃ TƯ LÊ TRỌNG TẤN - QUANG TRUNG - VĂN KHÊ, PHÍA BÊN TAY PHẢI LÀ TÒA NHÀ LA CASTA VĂN PHÚ (ĐỐI DIỆN TÒA NHÀ VĂN PHÚ VICTORIA 300M))",20.9604358,105.7661467,2023-08-05
VNVC,VNVC NGUYỄN DUY TRINH 1,"T1.01 (TẦNG 1) VÀ T2.01 (TẦNG 2) KHỐI 4 (LA.3), TÒA NHÀ LA ASTORIA, 383 NGUYỄN DUY TRINH, P.BÌNH TRƯNG, TP.HCM",10.7884746,106.7679095,2023-08-01
VNVC,VNVC TÂN UYÊN,"THỬA ĐẤT SỐ 429, TỜ BẢN ĐỒ SỐ 51, ĐƯỜNG DT746, TỔ 4, KHU PHỐ 8, P.TÂN UYÊN, TP.HCM",11.0564497,106.7724437,2023-08-01
VNVC,VNVC NGUYỄN DUY TRINH 2,"733-733A NGUYỄN DUY TRINH, P.LONG TRƯỜNG, TP.HCM",10.7906458,106.7819129,2023-07-27
VNVC,VNVC TAM TRINH,"SỐ 156 TAM TRINH, P.HOÀNG MAI, HÀ NỘI (CÙNG TRỤC ĐƯỜNG VỚI ĐẠI SIÊU THỊ METRO 126 TAM TRINH, ĐIỂM MUA SẮM CỦA CƯ DÂN KHU VỰC YÊN SỞ: CÁCH 100M)",20.9679619,105.8673751,2023-07-24
VNVC,VNVC QUẬN 10,"460 ĐƯỜNG 3 THÁNG 2 , P.HÒA HƯNG, TP.HCM",10.7685797,106.6677562,2023-07-12
VNVC,VNVC TRỰC NINH,"SỐ 136 ĐƯỜNG 21B, X.CỔ LỄ, NINH BÌNH (CÁCH CẦU ĐIỆN BIÊN 200M, HƯỚNG ĐI TỪ TP.NAM ĐỊNH XUỐNG HUYỆN HẢI HẬU)",20.3110882,106.2713152,2023-06-18
